post_id,title,level_id,directory_id,user,description,excerpt,categories,locations,address_line_1,address_line_2,zip,latitude,longitude,map_icon_file,tags,images,videos,expiration_date,contact_email,claimable,dodatkowe,data,phone,website,email
23331,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Mogiły,,,,,,,,,,,,,,,,,
23332,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Książe-Skroniów,,,,,,,,,,,,,,,,,
23333,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Skroniów Fabryczny,,,,,,,,,,,,,,,,,
23334,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kulczyzna,,,,,,,,,,,,,,,,,
23335,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Cegła,,,,,,,,,,,,,,,,,
23336,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kopaniny,,,,,,,,,,,,,,,,,
23337,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Lasków,,,,,,,,,,,,,,,,,
23338,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Dziadówki,,,,,,,,,,,,,,,,,
23339,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Tarszawa,,,,,,,,,,,,,,,,,
23340,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Lścin,,,,,,,,,,,,,,,,,
23341,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Niebyła,,,,,,,,,,,,,,,,,
23342,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Ludwinów,,,,,,,,,,,,,,,,,
23343,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Łączyn,,,,,,,,,,,,,,,,,
23344,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Dziadówki,,,,,,,,,,,,,,,,,
23345,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Łysaków Drugi,,,,,,,,,,,,,,,,,
23346,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Warszawka,,,,,,,,,,,,,,,,,
23347,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Łysaków Kawęczyński,,,,,,,,,,,,,,,,,
23348,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Łysaków pod Lasem,,,,,,,,,,,,,,,,,
23349,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Pólko,,,,,,,,,,,,,,,,,
23350,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Mnichów,,,,,,,,,,,,,,,,,
23351,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Rudki,,,,,,,,,,,,,,,,,
23352,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Podlesie,,,,,,,,,,,,,,,,,
23353,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Stara Wieś,,,,,,,,,,,,,,,,,
23354,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Piaski,,,,,,,,,,,,,,,,,
23355,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Podchojny,,,,,,,,,,,,,,,,,
23356,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Józefów,,,,,,,,,,,,,,,,,
23357,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Polesie,,,,,,,,,,,,,,,,,
23358,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Podlaszcze,,,,,,,,,,,,,,,,,
23359,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Modrzejów,,,,,,,,,,,,,,,,,
23360,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Trzebionka,,,,,,,,,,,,,,,,,
23361,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Potok Mały,,,,,,,,,,,,,,,,,
23362,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Dziadówki Małe,,,,,,,,,,,,,,,,,
23363,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Folga Pierwsza,,,,,,,,,,,,,,,,,
23364,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Folga Druga,,,,,,,,,,,,,,,,,
23365,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Koszarka,,,,,,,,,,,,,,,,,
23366,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Nowik,,,,,,,,,,,,,,,,,
23367,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Podedwór,,,,,,,,,,,,,,,,,
23368,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Potok Wielki,,,,,,,,,,,,,,,,,
23369,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kargów,,,,,,,,,,,,,,,,,
23370,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Rosochatka,,,,,,,,,,,,,,,,,
23371,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Tomaszówka,,,,,,,,,,,,,,,,,
23372,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Dziadówki,,,,,,,,,,,,,,,,,
23373,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Las,,,,,,,,,,,,,,,,,
23374,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Maciejówka,,,,,,,,,,,,,,,,,
23375,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Potok,,,,,,,,,,,,,,,,,
23376,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zabrzezinie,,,,,,,,,,,,,,,,,
23377,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zwierciadłki,,,,,,,,,,,,,,,,,
23378,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Prząsław,,,,,,,,,,,,,,,,,
23379,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kopanina,,,,,,,,,,,,,,,,,
23380,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kurliki,,,,,,,,,,,,,,,,,
23381,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Prząsław Mały,,,,,,,,,,,,,,,,,
23382,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Przysów,,,,,,,,,,,,,,,,,
23383,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Poduchowne,,,,,,,,,,,,,,,,,
23384,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Za Przegoną,,,,,,,,,,,,,,,,,
23385,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Raków,,,,,,,,,,,,,,,,,
23386,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kruk,,,,,,,,,,,,,,,,,
23387,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Podłącze,,,,,,,,,,,,,,,,,
23388,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Rakówek,,,,,,,,,,,,,,,,,
23389,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Skroniów,,,,,,,,,,,,,,,,,
23390,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Mały Skroniów,,,,,,,,,,,,,,,,,
23391,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Sudół,,,,,,,,,,,,,,,,,
23392,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Stara Wieś,,,,,,,,,,,,,,,,,
23393,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Brzeźnica,,,,,,,,,,,,,,,,,
23394,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Węgleniec,,,,,,,,,,,,,,,,,
23395,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Wilanów,,,,,,,,,,,,,,,,,
23396,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Ośrodek,,,,,,,,,,,,,,,,,
23397,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Wolica,,,,,,,,,,,,,,,,,
23398,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Karczma,,,,,,,,,,,,,,,,,
23399,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kopaniny,,,,,,,,,,,,,,,,,
23400,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Wólka,,,,,,,,,,,,,,,,,
23401,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Wanat,,,,,,,,,,,,,,,,,
23402,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Brzeźnica,,,,,,,,,,,,,,,,,
23403,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Wygoda,,,,,,,,,,,,,,,,,
23404,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zagaje,,,,,,,,,,,,,,,,,
23405,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Podzagaje,,,,,,,,,,,,,,,,,
23406,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kaletówka,,,,,,,,,,,,,,,,,
23407,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Za Górą,,,,,,,,,,,,,,,,,
23408,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Boronice,,,,,,,,,,,,,,,,,
23409,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Dubięcin,,,,,,,,,,,,,,,,,
23410,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Stara Wieś,,,,,,,,,,,,,,,,,
23411,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zagaje,,,,,,,,,,,,,,,,,
23412,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Zaszosie,,,,,,,,,,,,,,,,,
23413,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Broniszów,,,,,,,,,,,,,,,,,
23414,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Hektary,,,,,,,,,,,,,,,,,
23415,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Chruszczyna Mała,,,,,,,,,,,,,,,,,
23416,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Koszyczek,,,,,,,,,,,,,,,,,
23417,,1,1,1,,,,ŚWIĘTOKRZYSKIE>Kresy,,,,,,,,,,,,,,,,,
